n,sigma(n),2n,diff,Valid (d1, d2) Combinations
1769056,3545640,3538112,7528,"+32 +7496; +7496 +32"
1776608,3560760,3553216,7544,"+16 +7528; +7528 +16"
1907104,3820068,3814208,5860,"+1952 +3908; +3908 +1952"
1940992,4124736,3881984,242752,"+128 +242624; +242624 +128"
1991776,3984120,3983552,568,"+32 +536; +536 +32"
2129728,4279392,4259456,19936,"+19904 +32; +32 +19904"
2256832,4526280,4513664,12616,"+12608 +8; +8 +12608"
2274784,4549608,4549568,40,"+32 +8; +8 +32"
2329024,4671568,4658048,13520,"+3856 +9664; +9664 +3856"
2448128,4991448,4896256,95192,"+18688 +76504; +76504 +18688"
2480704,4992624,4961408,31216,"+1328 +29888; +29888 +1328"
2500544,5029200,5001088,28112,"+16 +28096; +28096 +16"
2646208,5303520,5292416,11104,"+11072 +32; +32 +11072"
3145024,6300724,6290048,10676,"+10048 +628; +628 +10048"
3190336,6421120,6380672,40448,"+40384 +64; +64 +40384"
3335968,6679260,6671936,7324,"+488 +6836; +6836 +488"
3512896,7040880,7025792,15088,"+6704 +8384; +8384 +6704"
3532096,7068820,7064192,4628,"+3664 +964; +964 +3664"
3574112,7155792,7148224,7568,"+244 +7324; +7324 +244"
3804448,7616700,7608896,7804,"+7796 +8; +8 +7796"
3808352,7624512,7616704,7808,"+4 +7804; +7804 +4"
3845056,7743952,7690112,53840,"+1168 +52672; +52672 +1168"
3875264,7760208,7750528,9680,"+16 +9664; +9664 +16"
3903296,7863840,7806592,57248,"+2272 +54976; +54976 +2272"
4110016,8229600,8220032,9568,"+32 +9536; +9536 +32"
4149056,8298180,8298112,68,"+4 +64; +64 +4"
4242176,8621592,8484352,137240,"+132568 +4672; +4672 +132568"
4607296,9214612,9214592,20,"+16 +4; +4 +16"
4661056,9395968,9322112,73856,"+4288 +69568; +69568 +4288"
4690688,9529128,9381376,147752,"+1168 +146584; +146584 +1168"
4802816,9756012,9605632,150380,"+150088 +292; +292 +150088"
5143808,10448928,10287616,161312,"+160744 +568; +568 +160744"
5451584,10936224,10903168,33056,"+26464 +6592; +6592 +26464"
5725504,11462004,11451008,10996,"+10448 +548; +548 +10448"
6112576,12230100,12225152,4948,"+2384 +2564; +2564 +2384"
6574144,13157200,13148288,8912,"+16 +8896; +8896 +16"
6774464,13551408,13548928,2480,"+2416 +64; +64 +2416"
7198528,14406372,14397056,9316,"+548 +8768; +8768 +548"
7733696,15468600,15467392,1208,"+1192 +16; +16 +1192"
7864576,16221184,15729152,492032,"+491536 +496; +496 +491536"
8102656,16711744,16205312,506432,"+16 +506416; +506416 +16"
9189184,18515584,18378368,137216,"+137152 +64; +64 +137152"
9363584,18800640,18727168,73472,"+24448 +49024; +49024 +24448"
9365504,19901700,18731008,1170692,"+1170688 +4; +4 +1170688"
11484736,22971760,22969472,2288,"+2224 +64; +64 +2224"
12914432,26232696,25828864,403832,"+256 +403576; +403576 +256"
13171264,26353008,26342528,10480,"+2096 +8384; +8384 +2096"
14879296,29759148,29758592,556,"+548 +8; +8 +548"
17488256,35030880,34976512,54368,"+13792 +40576; +40576 +13792"
17497408,35003232,34994816,8416,"+32 +8384; +8384 +32"
19362752,38831520,38725504,106016,"+6208 +99808; +99808 +6208"
21901696,43843680,43803392,40288,"+12704 +27584; +27584 +12704"
24552832,49137480,49105664,31816,"+28352 +3464; +3464 +28352"
25076608,50184000,50153216,30784,"+128 +30656; +30656 +128"
25612672,51255000,51225344,29656,"+25664 +3992; +3992 +25664"
25679744,51387600,51359488,28112,"+16 +28096; +28096 +16"
26201536,52468272,52403072,65200,"+57968 +7232; +7232 +57968"
26603392,53250120,53206784,43336,"+43328 +8; +8 +43328"
28508288,57066960,57016576,50384,"+16 +50368; +50368 +16"
29825408,59670000,59650816,19184,"+16 +19168; +19168 +16"
30677056,61356240,61354112,2128,"+2096 +32; +32 +2096"
32718208,65441160,65436416,4744,"+128 +4616; +4616 +128"
33557632,67121100,67115264,5836,"+2564 +3272; +3272 +2564"
34433408,68878560,68866816,11744,"+11728 +16; +16 +11728; +5872 +5872"
36723584,73450200,73447168,3032,"+1516 +1516; +3028 +4; +4 +3028"
37428032,75049380,74856064,193316,"+192928 +388; +388 +192928"
38619968,77439012,77239936,199076,"+199072 +4; +4 +199072"
39276992,78644496,78553984,90512,"+3616 +86896; +86896 +3616"
39411712,83749896,78823424,4926472,"+4926464 +8; +8 +4926464"
42315904,84651840,84631808,20032,"+128 +19904; +19904 +128"
42414464,84925200,84828928,96272,"+3664 +92608; +92608 +3664"
45228416,90555600,90456832,98768,"+16 +98752; +98752 +16"
49602944,99246000,99205888,40112,"+17728 +22384; +22384 +17728"
50718016,101548692,101436032,112660,"+112208 +452; +452 +112208"
50893952,101902080,101787904,114176,"+114112 +64; +64 +114112"
51831424,103672800,103662848,9952,"+128 +9824; +9824 +128"
52121024,104357424,104242048,115376,"+115312 +64; +64 +115312"
52337984,104791764,104675968,115796,"+115792 +4; +4 +115792"
54178688,108360720,108357376,3344,"+2722 +622; +622 +2722"
55893632,111816480,111787264,29216,"+24688 +4528; +4528 +24688"
58522496,117136800,117044992,91808,"+30592 +61216; +61216 +30592"
61019008,122051160,122038016,13144,"+128 +13016; +13016 +128"
76693504,159378688,153387008,5991680,"+1198336 +4793344; +4793344 +1198336"
80811904,161659800,161623808,35992,"+17216 +18776; +18776 +17216"
81281152,162792000,162562304,229696,"+204224 +25472; +25472 +204224"
