n,sigma(n),Prime Factorization,diff,Valid (d1, d2) Combinations
19872,60480,"2^5 * 3^3 * 23^1",20736,"+19872 +864; +864 +19872"
21344,45360,"2^5 * 23^1 * 29^1",2672,"+2668 +4; +4 +2668"
22496,47880,"2^5 * 19^1 * 37^1",2888,"+2812 +76; +76 +2812"
24016,49600,"2^4 * 19^1 * 79^1",1568,"+1264 +304; +304 +1264"
24384,65024,"2^6 * 3^1 * 127^1",16256,"+12192 +4064; +4064 +12192"
24800,62496,"2^5 * 5^2 * 31^1",12896,"+12400 +496; +496 +12400"
25056,75600,"2^5 * 3^3 * 29^1",25488,"+25056 +432; +432 +25056"
26496,79560,"2^7 * 3^2 * 23^1",26568,"+26496 +72; +72 +26496"
26784,80640,"2^5 * 3^3 * 31^1",27072,"+26784 +288; +288 +26784"
30256,61504,"2^4 * 31^1 * 61^1",992,"+16 +976; +976 +16"
43216,87172,"2^4 * 37^1 * 73^1",740,"+148 +592; +592 +148"
45904,94240,"2^4 * 19^1 * 151^1",2432,"+16 +2416; +2416 +16"
47616,130944,"2^9 * 3^1 * 31^1",35712,"+11904 +23808; +23808 +11904"
49136,98952,"2^4 * 37^1 * 83^1",680,"+16 +664; +664 +16"
49600,125984,"2^6 * 5^2 * 31^1",26784,"+1984 +24800; +24800 +1984"
56896,130048,"2^6 * 7^1 * 127^1",16256,"+14224 +2032; +2032 +14224"
57392,118296,"2^4 * 17^1 * 211^1",3512,"+136 +3376; +3376 +136"
57424,115444,"2^4 * 37^1 * 97^1",596,"+4 +592; +592 +4"
58000,145080,"2^4 * 5^3 * 29^1",29080,"+29000 +80; +80 +29000"
58752,183600,"2^7 * 3^3 * 17^1",66096,"+58752 +7344; +7344 +58752"
60976,122512,"2^4 * 37^1 * 103^1",560,"+148 +412; +412 +148"
63632,127596,"2^4 * 41^1 * 97^1",332,"+328 +4; +4 +328"
72896,155448,"2^6 * 17^1 * 67^1",9656,"+544 +9112; +9112 +544"
73712,151776,"2^4 * 17^1 * 271^1",4352,"+16 +4336; +4336 +16"
74128,148428,"2^4 * 41^1 * 113^1",172,"+164 +8; +8 +164"
75344,155124,"2^4 * 17^1 * 277^1",4436,"+4 +4432; +4432 +4"
81216,243840,"2^6 * 3^3 * 47^1",81408,"+192 +81216; +81216 +192"
96496,193192,"2^4 * 37^1 * 163^1",200,"+163 +37; +37 +163"
96928,206388,"2^5 * 13^1 * 233^1",12532,"+12116 +416; +416 +12116"
99200,252960,"2^7 * 5^2 * 31^1",54560,"+4960 +49600; +49600 +4960"
108112,217620,"2^4 * 29^1 * 233^1",1396,"+464 +932; +932 +464"
114256,228532,"2^4 * 37^1 * 193^1",20,"+16 +4; +4 +16"
117760,294768,"2^10 * 5^1 * 23^1",59248,"+368 +58880; +58880 +368"
121824,365904,"2^5 * 3^4 * 47^1",122256,"+121824 +432; +432 +121824"
130816,302512,"2^8 * 7^1 * 73^1",40880,"+32704 +8176; +8176 +32704"
140192,298116,"2^5 * 13^1 * 337^1",17732,"+17524 +208; +208 +17524"
154496,330480,"2^7 * 17^1 * 71^1",21488,"+19312 +2176; +2176 +19312"
161824,343980,"2^5 * 13^1 * 389^1",20332,"+104 +20228; +20228 +104"
161936,325500,"2^4 * 29^1 * 349^1",1628,"+1396 +232; +232 +1396"
163072,407778,"2^8 * 7^2 * 13^1",81634,"+81536 +98; +98 +81536"
172864,357124,"2^6 * 37^1 * 73^1",11396,"+10804 +592; +592 +10804"
180128,382788,"2^5 * 13^1 * 433^1",22532,"+16 +22516; +22516 +16"
182624,388080,"2^5 * 13^1 * 439^1",22832,"+22828 +4; +4 +22828"
203904,612000,"2^7 * 3^3 * 59^1",204192,"+203904 +288; +288 +203904"
212048,425940,"2^4 * 29^1 * 457^1",1844,"+16 +1828; +1828 +16"
213904,429660,"2^4 * 29^1 * 461^1",1852,"+1844 +8; +8 +1844"
214832,431520,"2^4 * 29^1 * 463^1",1856,"+1852 +4; +4 +1852"
224128,477360,"2^7 * 17^1 * 103^1",29104,"+1088 +28016; +28016 +1088"
229408,462672,"2^5 * 67^1 * 107^1",3856,"+1712 +2144; +2144 +1712"
236384,476280,"2^5 * 83^1 * 89^1",3512,"+2848 +664; +664 +2848"
251968,520192,"2^6 * 31^1 * 127^1",16256,"+15748 +508; +508 +15748"
252800,632400,"2^7 * 5^2 * 79^1",126800,"+126400 +400; +400 +126400"
256736,517104,"2^5 * 71^1 * 113^1",3632,"+16 +3616; +3616 +16"
261088,529200,"2^5 * 41^1 * 199^1",7024,"+6368 +656; +656 +6368"
265600,664020,"2^7 * 5^2 * 83^1",132820,"+132800 +20; +20 +132800"
269824,589248,"2^9 * 17^1 * 31^1",49600,"+15872 +33728; +33728 +15872"
276352,587520,"2^7 * 17^1 * 127^1",34816,"+272 +34544; +34544 +272"
285056,605880,"2^7 * 17^1 * 131^1",35768,"+136 +35632; +35632 +136"
345056,698544,"2^5 * 41^1 * 263^1",8432,"+16 +8416; +8416 +16"
347936,698544,"2^5 * 83^1 * 131^1",2672,"+16 +2656; +2656 +16"
396896,796320,"2^5 * 79^1 * 157^1",2528,"+16 +2512; +2512 +16"
412128,1238328,"2^5 * 3^5 * 53^1",414072,"+1944 +412128; +412128 +1944"
418144,839160,"2^5 * 73^1 * 179^1",2872,"+2864 +8; +8 +2864"
428544,1309440,"2^9 * 3^3 * 31^1",452352,"+23808 +428544; +428544 +23808"
430272,1290828,"2^6 * 3^4 * 83^1",430284,"+12 +430272; +430272 +12"
449248,899640,"2^5 * 101^1 * 139^1",1144,"+1112 +32; +32 +1112"
456928,914760,"2^5 * 109^1 * 131^1",904,"+32 +872; +872 +32"
460288,982080,"2^9 * 29^1 * 31^1",61504,"+3968 +57536; +57536 +3968"
464224,929880,"2^5 * 89^1 * 163^1",1432,"+1424 +8; +8 +1424"
491536,984064,"2^4 * 31^1 * 991^1",992,"+1 +991; +991 +1"
561824,1123668,"2^5 * 97^1 * 181^1",20,"+16 +4; +4 +16"
618848,1238328,"2^5 * 83^1 * 233^1",632,"+166 +466; +466 +166"
638432,1279152,"2^5 * 71^1 * 281^1",2288,"+16 +2272; +2272 +16"
642976,1288224,"2^5 * 71^1 * 283^1",2272,"+2264 +8; +8 +2264"
691456,1436932,"2^8 * 37^1 * 73^1",54020,"+10804 +43216; +43216 +10804"
715712,1453896,"2^6 * 53^1 * 211^1",22472,"+106 +22366; +22366 +106"
815264,1631700,"2^5 * 73^1 * 349^1",1172,"+1168 +4; +4 +1168"
